100
 Atoms. Timestep: 340
X 10.0078 0.423392 1.26602
X 3.67776 2.65782 1.3212
X 4.24772 2.65065 2.32756
X 9.85712 9.98988 0.252368
X 3.27129 4.21783 2.33061
X 0.40933 9.42403 1.00098
X 4.08267 3.63015 1.73185
X 2.29772 3.65161 2.33409
X 0.871148 0.318978 0.541078
X 1.15041 4.23025 3.69428
X 2.49774 2.66635 2.90783
X 3.47163 8.10967 5.33108
X 3.78506 9.20473 5.39539
X 3.00021 3.62156 3.20471
X 1.50007 2.90941 2.48713
X 3.56234 2.66266 3.20904
X 1.90977 3.47428 3.37619
X 1.28211 3.98492 2.63058
X 3.25143 3.12195 2.243
X 1.5566 3.17517 6.83966
X 3.79994 3.50959 3.93244
X 3.81289 9.10241 7.24406
X 2.1699 9.52515 6.37647
X 1.9623 2.73109 7.8216
X 2.66089 3.26166 7.13828
X 3.30458 9.60629 6.3608
X 2.22029 2.27026 6.85667
X 4.73669 2.83282 1.32713
X 1.62392 3.38034 8.67571
X 4.75124 3.19748 9.79814
X 0.961923 3.26712 7.80356
X 1.87334 3.84031 7.69923
X 4.09459 3.47456 0.662374
X 4.24112 2.4222 0.40019
X 0.633503 8.44818 0.619122
X 9.61029 7.88025 0.397575
X 0.322418 8.34115 9.56249
X 9.73026 8.59154 1.18924
X 9.74165 8.95865 0.223323
X 9.83438 9.37819 1.95954
X 2.9113 7.82472 6.31705
X 0.690318 8.61627 1.73564
X 4.66066 4.1412 3.57141
X 3.62422 4.50523 3.34272
X 1.22183 7.83316 5.67323
X 4.42655 9.33023 6.36449
X 0.966202 6.90636 6.28295
X 3.65004 8.60963 6.28203
X 2.77877 8.79361 6.90976
X 2.76004 8.88595 5.71556
X 1.98816 7.29191 6.25071
X 1.20536 7.86586 6.79182
X 2.32613 7.92195 5.37776
X 2.23161 7.84493 7.21338
X 1.97803 8.42652 6.25744
X 1.31411 7.73092 7.87186
X 3.6224 5.23778 9.3478
X 4.43171 8.37347 7.9182
X 0.707874 9.363 9.93008
X 0.509687 7.20582 7.25389
X 1.62042 6.90833 7.1927
X 5.18381 3.63362 0.74008
X 9.252 9.56091 1.03103
X 0.49646 3.31834 2.22188
X 6.96664 3.68537 1.33757
X 5.33732 2.51331 0.475936
X 6.09721 3.07473 1.02607
X 6.95009 3.28085 0.285227
X 6.19362 4.13816 0.642945
X 6.35812 2.38243 0.151506
X 4.03528 3.60782 2.84327
X 6.55363 1.87136 4.70187
X 7.61874 1.56248 4.81718
X 0.829035 3.23966 3.31111
X 7.36468 2.41382 4.1083
X 7.30512 4.33713 0.461869
X 0.50225 0.359031 9.47218
X 5.83685 3.34766 9.93599
X 9.38995 0.543522 9.45201
X 0.0677335 1.04395 0.236845
X 5.50819 2.45147 9.40423
X 9.83309 9.50302 9.25937
X 8.78744 8.6235 0.686317
X 7.46608 5.36723 0.680738
X 9.0879 7.77681 1.37258
X 6.74006 4.81706 1.29482
X 6.49284 5.07474 0.233774
X 9.74787 8.21292 2.19911
X 4.54432 8.39158 5.70159
X 0.240968 7.64237 1.32441
X 8.84912 8.82234 1.79485
X 5.20473 7.70579 6.30296
X 0.244224 7.70642 6.29801
X 5.35517 8.79277 6.38615
X 4.481 8.26548 6.83755
X 4.95873 9.1798 7.33215
X 5.43829 8.17053 7.29999
X 0.592019 7.43452 0.239187
X 8.87028 9.57709 9.96392
X 6.58324 4.13893 9.62122
100
 Atoms. Timestep: 350
X 10.0414 0.451721 1.25984
X 3.69586 2.61893 1.31832
X 4.26196 2.65115 2.37161
X 9.85139 9.9771 0.234453
X 3.24946 4.23117 2.36744
X 0.404453 9.41546 0.990736
X 4.06412 3.61928 1.71221
X 2.29849 3.64595 2.33042
X 0.872416 0.323207 0.551477
X 1.14036 4.22774 3.69905
X 2.5014 2.67325 2.92148
X 3.46718 8.11683 5.31681
X 3.77631 9.18853 5.36413
X 3.0254 3.63229 3.21549
X 1.50592 2.92191 2.48562
X 3.54798 2.64878 3.21241
X 1.91813 3.48065 3.38399
X 1.28955 3.97057 2.66168
X 3.26425 3.13681 2.25278
X 1.54892 3.15934 6.81744
