100
Step 10
-3.807066e+00 -2.301257e+00 9.164780e-01
-4.152151e+00 -3.824095e+00 -2.894291e+00
3.739135e+00 -1.535569e+00 -2.548451e+00
2.607376e+00 -7.307854e-01 -2.654420e+00
4.920789e+00 9.431809e-01 -2.376609e+00
2.114438e+00 3.683398e-01 3.025654e+00
2.861732e-01 2.735909e+00 1.927147e+00
1.868510e-01 -2.843705e+00 3.216025e+00
8.247203e-01 -3.830104e+00 -1.814196e+00
2.214143e+00 -4.236650e+00 -1.989905e+00
2.389427e+00 3.918866e+00 3.187546e+00
3.680695e+00 1.969905e+00 -2.941195e+00
-5.703493e-01 7.093248e-01 -4.401148e+00
3.465309e+00 5.707780e-01 -2.848036e+00
2.816143e+00 3.347125e+00 -2.692786e+00
-7.835296e-01 -8.344602e-01 6.555882e-01
-4.549889e+00 -2.365212e+00 3.504294e+00
-1.419326e-01 -3.877362e-01 1.173454e+00
3.154313e+00 -1.435106e+00 1.557788e+00
2.851117e+00 -4.423133e+00 -1.679766e+00
3.126107e+00 -2.937611e+00 4.233573e+00
-8.974116e-01 -3.997772e+00 -4.853303e+00
8.647665e-01 -4.019347e+00 -4.695771e+00
-3.443283e+00 -4.262108e+00 -1.244974e+00
-9.079892e-01 1.211550e+00 -2.813675e+00
-1.669734e+00 -1.699373e+00 1.592612e+00
-3.340544e+00 4.657076e+00 7.134140e-01
1.507554e+00 2.411041e+00 -3.256989e+00
-2.604640e+00 9.827158e-01 -6.545151e-01
2.918158e+00 -1.284838e+00 2.105208e+00
-1.285623e-01 3.163417e+00 2.921247e+00
1.371301e+00 2.092753e+00 -1.662175e-01
1.809804e+00 3.508991e+00 4.279112e+00
4.962692e+00 3.265358e+00 6.379459e-01
2.726799e+00 -4.711471e+00 -4.101621e+00
-9.563045e-01 -8.754527e-02 3.712987e+00
7.939072e-01 4.206879e+00 -3.979723e+00
-6.784745e-01 -4.899505e+00 -2.308558e+00
2.628109e+00 -1.394803e+00 -2.260261e+00
3.181629e+00 -8.192623e-01 -2.967642e+00
3.617749e+00 -2.001005e+00 2.727696e+00
8.368819e-01 3.947801e+00 -8.985769e-01
9.719223e-01 -4.705419e+00 2.695947e-01
-4.145247e-01 9.791688e-01 3.251399e+00
-2.462226e+00 -4.992891e+00 4.466414e+00
1.779038e+00 1.913530e+00 -1.358208e+00
3.768334e-01 -3.617965e+00 3.293268e+00
2.908309e+00 2.938344e+00 1.413902e+00
2.266710e+00 5.323809e-01 -2.054352e+00
-3.413051e+00 -2.740189e-01 -2.051212e+00
2.438027e+00 -3.464189e-01 -4.207487e+00
3.128125e+00 -1.658412e+00 -2.603614e+00
-4.333492e+00 -2.476649e-01 3.472574e+00
4.637047e-01 2.223741e+00 -4.906315e+00
-6.678565e-01 -4.359440e+00 4.645074e+00
-2.114348e+00 -1.950955e+00 -3.683418e+00
1.496777e+00 9.181383e-01 -9.155432e-01
1.040739e+00 -3.362815e+00 -1.419232e+00
-3.034566e+00 3.996489e+00 -7.265279e-01
-6.237042e-01 6.938511e-01 -8.075728e-01
4.886112e-01 -2.250901e+00 -1.844857e+00
6.171068e-01 -8.427884e-01 3.872276e-01
3.470496e+00 1.117246e+00 -3.191292e+00
-4.022348e+00 2.030903e+00 2.947521e+00
3.307486e+00 -4.990369e+00 1.124374e+00
-9.200654e-01 -2.590235e+00 4.821730e+00
-4.368359e+00 3.940864e+00 4.659430e-01
4.961627e+00 2.308221e+00 -9.232875e-01
-4.348338e+00 -4.682778e+00 4.933864e+00
-2.487529e-01 1.256837e+00 1.306803e+00
-4.597039e+00 4.227743e+00 -2.131854e-01
-4.020748e-01 1.749143e+00 2.771955e-01
1.017209e+00 7.952893e-01 -4.545081e+00
2.852189e+00 -4.770140e+00 -2.390076e+00
-4.559715e+00 3.193900e+00 1.001174e+00
-9.759376e-01 1.001684e+00 1.314777e+00
6.668395e-01 -4.418212e+00 2.540437e+00
9.543927e-02 4.828672e+00 -1.795617e+00
-3.583596e+00 3.919666e+00 1.993995e+00
-2.893971e+00 3.353842e+00 -4.505202e+00
-4.630919e+00 2.974371e+00 -9.779615e-01
-3.368973e+00 1.817108e+00 1.142652e+00
4.100152e+00 2.446138e+00 4.675587e+00
-4.327354e+00 5.669218e-01 -4.493056e+00
5.368724e-01 -4.265962e+00 6.598327e-01
6.501555e-01 1.101340e+00 -2.495725e+00
-6.607856e-01 -9.809192e-01 2.061983e+00
3.099277e+00 -3.616147e+00 3.931632e+00
3.825493e+00 3.804337e+00 1.535134e-01
1.963719e+00 -2.394570e+00 -5.342247e-01
5.634889e-01 -2.750120e-01 3.706509e+00
-1.955550e+00 9.560912e-01 -2.063748e+00
1.407799e+00 2.900427e-01 4.508461e+00
-3.587817e+00 4.877189e+00 4.616524e+00
-2.297956e+00 2.720950e+00 4.833495e+00
3.908090e+00 2.682072e+00 3.962236e+00
3.553559e+00 -7.099215e-01 -2.327045e+00
-4.522239e+00 3.689589e-01 -2.384790e+00
2.310419e-01 -1.240058e+00 -2.733810e+00
-1.815503e+00 -2.129718e+00 4.927609e+00
100
Step 20
-3.807066e+00 -2.301257e+00 9.164780e-01
-4.152151e+00 -3.824095e+00 -2.894291e+00
3.762998e+00 -1.531042e+00 -2.546364e+00
2.597129e+00 -7.280039e-01 -2.649593e+00
4.920184e+00 9.438023e-01 -2.376601e+00
2.114438e+00 3.683395e-01 3.025654e+00
2.861723e-01 2.735909e+00 1.927148e+00
1.866490e-01 -2.842882e+00 3.215943e+00
8.198032e-01 -3.840743e+00 -1.823188e+00
2.211562e+00 -4.235857e+00 -1.991082e+00
2.389426e+00 3.918865e+00 3.187548e+00
3.680724e+00 1.970022e+00 -2.941160e+00
-5.703482e-01 7.093252e-01 -4.401148e+00
3.465180e+00 5.573037e-01 -2.839573e+00
2.816143e+00 3.347124e+00 -2.692786e+00
-7.835853e-01 -8.345003e-01 6.555443e-01
-4.549889e+00 -2.365211e+00 3.504294e+00
-1.418757e-01 -3.876971e-01 1.173501e+00
3.166748e+00 -1.443019e+00 1.528966e+00
2.853622e+00 -4.423455e+00 -1.677686e+00
3.132403e+00 -2.778626e+00 4.304211e+00
-9.014296e-01 -3.991438e+00 -4.844523e+00
8.647655e-01 -4.019347e+00 -4.695771e+00
-3.443283e+00 -4.262108e+00 -1.244974e+00
-9.079901e-01 1.211549e+00 -2.813674e+00
-1.669731e+00 -1.699372e+00 1.592612e+00
-3.340547e+00 4.657073e+00 7.134134e-01
1.507554e+00 2.411041e+00 -3.256989e+00
-2.604639e+00 9.827157e-01 -6.545161e-01
2.905725e+00 -1.276927e+00 2.134033e+00
-1.285617e-01 3.163416e+00 2.921245e+00
1.371301e+00 2.092751e+00 -1.662209e-01
1.809805e+00 3.508992e+00 4.279110e+00
4.904987e+00 3.273952e+00 5.940942e-01
2.726799e+00 -4.711471e+00 -4.101621e+00
-9.563021e-01 -8.754329e-02 3.712986e+00
7.939073e-01 4.206879e+00 -3.979723e+00
-6.785140e-01 -4.899491e+00 -2.308584e+00
2.619605e+00 -1.391512e+00 -2.253679e+00
3.190739e+00 -8.210084e-01 -2.975096e+00
3.617747e+00 -2.001003e+00 2.727693e+00
8.368812e-01 3.947802e+00 -8.985776e-01
9.736837e-01 -4.707198e+00 2.680141e-01
-4.145253e-01 9.791662e-01 3.251399e+00
-2.462227e+00 -4.992891e+00 4.466414e+00
1.779037e+00 1.913530e+00 -1.358206e+00
3.770353e-01 -3.618788e+00 3.293350e+00
2.908309e+00 2.938345e+00 1.413902e+00
2.266711e+00 5.323802e-01 -2.054353e+00
-3.413053e+00 -2.740174e-01 -2.051212e+00
2.438028e+00 -3.464190e-01 -4.207485e+00
3.112860e+00 -1.667805e+00 -2.611565e+00
-4.333492e+00 -2.476649e-01 3.472574e+00
4.637052e-01 2.223740e+00 -4.906315e+00
-6.638377e-01 -4.365770e+00 4.636294e+00
-2.114348e+00 -1.950955e+00 -3.683420e+00
1.496777e+00 9.181396e-01 -9.155439e-01
1.045657e+00 -3.352175e+00 -1.410241e+00
-3.034568e+00 3.996490e+00 -7.265267e-01
-6.237042e-01 6.938519e-01 -8.075721e-01
4.886123e-01 -2.250902e+00 -1.844858e+00
6.171036e-01 -8.427875e-01 3.872295e-01
3.470594e+00 1.130598e+00 -3.199787e+00
-4.022348e+00 2.030903e+00 2.947521e+00
3.307486e+00 -4.990370e+00 1.124373e+00
-9.200461e-01 -2.590246e+00 4.821728e+00
-4.367883e+00 3.940441e+00 4.671340e-01
4.961018e+00 2.307226e+00 -9.232055e-01
-4.348410e+00 -4.682736e+00 4.933894e+00
-2.473858e-01 1.257317e+00 1.306787e+00
-4.597459e+00 4.228266e+00 -2.144317e-01
-4.020751e-01 1.749141e+00 2.771974e-01
1.055378e+00 8.555594e-01 -4.594467e+00
2.812246e+00 -4.828684e+00 -2.342864e+00
-4.502063e+00 3.185206e+00 1.045079e+00
-9.773032e-01 1.001205e+00 1.314791e+00
6.668392e-01 -4.418211e+00 2.540437e+00
9.548057e-02 4.828658e+00 -1.795589e+00
-3.583597e+00 3.919666e+00 1.993993e+00
-2.893973e+00 3.353844e+00 -4.505201e+00
-4.630310e+00 2.975368e+00 -9.780411e-01
-3.368974e+00 1.817108e+00 1.142652e+00
4.100434e+00 2.445674e+00 4.677240e+00
-4.327354e+00 5.669218e-01 -4.493056e+00
5.351109e-01 -4.264183e+00 6.614129e-01
6.501556e-01 1.101340e+00 -2.495725e+00
-6.607864e-01 -9.809187e-01 2.061979e+00
3.093023e+00 -3.775067e+00 3.860544e+00
3.825496e+00 3.804336e+00 1.535149e-01
1.963718e+00 -2.394571e+00 -5.342256e-01
5.634893e-01 -2.750100e-01 3.706511e+00
-1.955548e+00 9.560915e-01 -2.063748e+00
1.407797e+00 2.900421e-01 4.508460e+00
-3.587743e+00 4.877147e+00 4.616494e+00
-2.297955e+00 2.720949e+00 4.833493e+00
3.907766e+00 2.682469e+00 3.961033e+00
3.554600e+00 -7.093731e-01 -2.325137e+00
-4.521635e+00 3.683365e-01 -2.384798e+00
2.328893e-01 -1.242257e+00 -2.732538e+00
-1.815523e+00 -2.129708e+00 4.927613e+00
100
Step 30
-3.807066e+00 -2.301257e+00 9.164780e-01
-4.152150e+00 -3.824096e+00 -2.894290e+00
3.795558e+00 -1.524905e+00 -2.543463e+00
2.581440e+00 -7.233796e-01 -2.642410e+00
4.919091e+00 9.449258e-01 -2.376586e+00
2.114437e+00 3.683389e-01 3.025656e+00
2.861706e-01 2.735908e+00 1.927150e+00
1.862836e-01 -2.841395e+00 3.215795e+00
8.125818e-01 -3.856369e+00 -1.836395e+00
2.207045e+00 -4.234451e+00 -1.993130e+00
2.389424e+00 3.918863e+00 3.187552e+00
3.680782e+00 1.970254e+00 -2.941088e+00
-5.703464e-01 7.093259e-01 -4.401147e+00
3.464993e+00 5.377797e-01 -2.827308e+00
2.816143e+00 3.347123e+00 -2.692786e+00
-7.836874e-01 -8.345737e-01 6.554638e-01
-4.549889e+00 -2.365211e+00 3.504294e+00
-1.417716e-01 -3.876255e-01 1.173586e+00
3.182064e+00 -1.452765e+00 1.493469e+00
2.858046e+00 -4.423796e+00 -1.673833e+00
3.138486e+00 -2.625006e+00 4.372463e+00
-9.076351e-01 -3.981656e+00 -4.830962e+00
8.647637e-01 -4.019348e+00 -4.695771e+00
-3.443283e+00 -4.262109e+00 -1.244974e+00
-9.079919e-01 1.211548e+00 -2.813672e+00
-1.669727e+00 -1.699370e+00 1.592612e+00
-3.340553e+00 4.657068e+00 7.134121e-01
1.507554e+00 2.411041e+00 -3.256988e+00
-2.604638e+00 9.827155e-01 -6.545180e-01
2.890413e+00 -1.267184e+00 2.169535e+00
-1.285605e-01 3.163414e+00 2.921243e+00
1.371303e+00 2.092747e+00 -1.662271e-01
1.809807e+00 3.508993e+00 4.279107e+00
4.846115e+00 3.282702e+00 5.493712e-01
2.726799e+00 -4.711471e+00 -4.101620e+00
-9.562978e-01 -8.753966e-02 3.712984e+00
7.939075e-01 4.206879e+00 -3.979723e+00
-6.785862e-01 -4.899466e+00 -2.308632e+00
2.605215e+00 -1.385908e+00 -2.242215e+00
3.204440e+00 -8.237452e-01 -2.986973e+00
3.617743e+00 -2.001000e+00 2.727689e+00
8.368799e-01 3.947805e+00 -8.985787e-01
9.767590e-01 -4.710305e+00 2.652547e-01
-4.145265e-01 9.791614e-01 3.251401e+00
-2.462229e+00 -4.992892e+00 4.466415e+00
1.779036e+00 1.913529e+00 -1.358203e+00
3.774004e-01 -3.620278e+00 3.293498e+00
2.908310e+00 2.938345e+00 1.413901e+00
2.266713e+00 5.323791e-01 -2.054354e+00
-3.413056e+00 -2.740145e-01 -2.051213e+00
2.438029e+00 -3.464192e-01 -4.207482e+00
3.094869e+00 -1.682399e+00 -2.624626e+00
-4.333492e+00 -2.476650e-01 3.472575e+00
4.637061e-01 2.223738e+00 -4.906314e+00
-6.576308e-01 -4.375547e+00 4.622732e+00
-2.114347e+00 -1.950956e+00 -3.683423e+00
1.496778e+00 9.181420e-01 -9.155452e-01
1.052880e+00 -3.336548e+00 -1.397036e+00
-3.034571e+00 3.996491e+00 -7.265246e-01
-6.237043e-01 6.938534e-01 -8.075706e-01
4.886142e-01 -2.250905e+00 -1.844859e+00
6.170976e-01 -8.427857e-01 3.872329e-01
3.470721e+00 1.149880e+00 -3.212118e+00
-4.022348e+00 2.030903e+00 2.947520e+00
3.307487e+00 -4.990372e+00 1.124372e+00
-9.200109e-01 -2.590268e+00 4.821724e+00
-4.367046e+00 3.939656e+00 4.692824e-01
4.959923e+00 2.305436e+00 -9.230578e-01
-4.348541e+00 -4.682660e+00 4.933949e+00
-2.449380e-01 1.258176e+00 1.306758e+00
-4.598212e+00 4.229205e+00 -2.166656e-01
-4.020757e-01 1.749136e+00 2.772009e-01
1.092243e+00 9.137709e-01 -4.642165e+00
2.773684e+00 -4.885835e+00 -2.298199e+00
-4.443271e+00 3.176304e+00 1.089885e+00
-9.797484e-01 1.000346e+00 1.314815e+00
6.668386e-01 -4.418209e+00 2.540438e+00
9.555627e-02 4.828633e+00 -1.795539e+00
-3.583599e+00 3.919666e+00 1.993988e+00
-2.893976e+00 3.353848e+00 -4.505198e+00
-4.629215e+00 2.977162e+00 -9.781841e-01
-3.368974e+00 1.817109e+00 1.142652e+00
4.100978e+00 2.444893e+00 4.679844e+00
-4.327354e+00 5.669217e-01 -4.493056e+00
5.320356e-01 -4.261076e+00 6.641719e-01
6.501559e-01 1.101341e+00 -2.495725e+00
-6.607878e-01 -9.809179e-01 2.061971e+00
3.086980e+00 -3.928622e+00 3.791855e+00
3.825502e+00 3.804335e+00 1.535177e-01
1.963717e+00 -2.394572e+00 -5.342272e-01
5.634900e-01 -2.750062e-01 3.706513e+00
-1.955545e+00 9.560920e-01 -2.063748e+00
1.407794e+00 2.900403e-01 4.508457e+00
-3.587609e+00 4.877071e+00 4.616439e+00
-2.297952e+00 2.720946e+00 4.833490e+00
3.907182e+00 2.683187e+00 3.958865e+00
3.556407e+00 -7.083922e-01 -2.321752e+00
-4.520542e+00 3.672113e-01 -2.384813e+00
2.346740e-01 -1.244381e+00 -2.731309e+00
-1.815558e+00 -2.129690e+00 4.927621e+00
100
Step 40
-3.807066e+00 -2.301257e+00 9.164781e-01
-4.152150e+00 -3.824096e+00 -2.894290e+00
3.831099e+00 -1.518298e+00 -2.540264e+00
